,Name,Model Number,SKU,Category,Number of Reviews,Rating,Price
0,Samsung - 32 cu. ft. 3-Door French Door Smart Refrigerator with Dual Auto Ice Maker - Stainless Steel,RF32CG5100SR/AA,6546219,refrigerator,421,4.6,"1,599.99"
1,LG - 27.8 Cu. Ft. 4-Door French Door Smart Refrigerator with Smart Cooling System - Stainless Steel,LMXS28626S,5968400,refrigerator,1740,4.4,"1,999.99"
2,Samsung - 28 Cu. Ft. 4-Door French Door Smart Refrigerator with FlexZone Drawer - Stainless Steel,RF28R7201SR/AA,6323216,refrigerator,1870,4.4,"2,879.99"
3,Whirlpool - 19.4 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Flexible Organization Spaces - Stainless Steel,WRQA59CNKZ,6422487,refrigerator,699,4.6,"2,339.99"
4,Insignia™ - 10 Cu. Ft. Top-Freezer Refrigerator with Reversible Door and ENERGY STAR Certification - Stainless Steel Look,NS-RTM10SS2,6449413,refrigerator,1016,4.7,399.99
5,LG - 25.5 Cu. Ft. Bottom-Freezer Refrigerator with Ice Maker - Stainless Steel,LRDCS2603S,6395330,refrigerator,1395,4.6,"1,599.99"
6,Samsung - 15.6 cu. ft. Top Freezer Refrigerator with All-Around Cooling - Stainless Steel,RT16A6195SR/AA,6471975,refrigerator,391,4.6,749.99
7,Samsung - BESPOKE 29 cu. ft. 4-Door French Door Smart Refrigerator with Family Hub - Matte Black Steel,RF29BB89008MAA,6493497,refrigerator,613,4.6,"2,999.99"
8,New!Insignia™ - 14.2 Cu. Ft. Top-Freezer Refrigerator with ENERGY STAR Certification - Stainless Steel,NS-RTM14SS5,6562450,refrigerator,9,4.1,479.99
9,Samsung - 22 cu. ft. Side-by-Side Counter Depth Smart Refrigerator with All-Around Cooling - Stainless Steel,RS22T5201SR/AA,6397585,refrigerator,1140,4.5,"1,299.99"
10,Samsung - BESPOKE 30 cu. ft. 3-Door French Door Smart Refrigerator with Beverage Center - Stainless Steel,RF30BB6600QL/AA,6493496,refrigerator,1173,4.7,"1,999.99"
11,Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator with Fingerprint Resistant - Stainless Steel,WRS321SDHZ,6076924,refrigerator,2128,4,"1,199.99"
12,Samsung - 28 Cu. Ft. 4-Door French Door Smart Refrigerator with FlexZone Drawer - Stainless Steel,RF28R7201SR/AA,6323216,refrigerator,1870,4.4,"2,879.99"
13,LG - Counter-Depth MAX 26.5 Cu. Ft. French Door Smart Refrigerator with Internal Water - Stainless Steel,LRFLC2706S,6511564,refrigerator,625,4.7,"1,799.99"
14,Frigidaire 28.8 Cu. Ft. French Door Standard-Depth Refrigerator - Stainless Steel,FRFN2813AF,6583542,refrigerator,1,5,"1,299.99"
15,LG - Counter-Depth MAX 25.5 Cu. Ft. French Door Smart Refrigerator with Dual Ice - Stainless Steel,LRFXC2606S,6532716,refrigerator,421,4.7,"2,099.99"
16,LG - 27 Cu. Ft. Side-by-Side Smart Refrigerator with Craft Ice - Stainless Steel,LRSOS2706S,6468484,refrigerator,983,4.6,"1,699.99"
17,Samsung - 15.6 cu. ft. Top Freezer Refrigerator with All-Around Cooling - Stainless Steel,RT16A6195SR/AA,6471975,refrigerator,391,4.6,749.99
